count(seriesPath), count result
count(root.T000100010002.90003.struct@now%106007), 0
count(root.T000100010002.90003.struct@now%104006), 0
count(root.T000100010002.90003.RunTime4), 0
count(root.T000100010002.90003.struct@avg%104007), 0
count(root.T000100010002.90003.Stops), 0
count(root.T000100010002.90003.struct@now%106006), 0
count(root.T000100010002.90003.struct@now%104007), 0
count(root.T000100010002.90003.CurrentSpeed), 0
count(root.T000100010002.90003.struct@avg%106001), 0
count(root.T000100010002.90003.RunTime3), 0
count(root.T000100010002.90003.struct@avg%104006), 0
count(root.T000100010002.90003.TotalMAXBobbins), 0
count(root.T000100010002.90003.struct@avg%104001), 0
count(root.T000100010002.90003.struct@avg%106006), 0
count(root.T000100010002.90003.RunTime6), 0
count(root.T000100010002.90003.struct@avg%104009), 0
count(root.T000100010002.90003.sd_Value1), 0
count(root.T000100010002.90003.struct@now%104008), 0
count(root.T000100010002.90003.StartTime), 0
count(root.T000100010002.90003.DoubleRodNum), 0
count(root.T000100010002.90003.struct@now%106001), 0
count(root.T000100010002.90003.Year), 0
count(root.T000100010002.90003.Month), 0
count(root.T000100010002.90003.struct@avg%106007), 0
count(root.T000100010002.90003.TotalTime), 0
count(root.T000100010002.90003.struct@now%104001), 0
count(root.T000100010002.90003.TotalProduction), 0
count(root.T000100010002.90003.RunTime5), 0
count(root.T000100010002.90003.struct@avg%104008), 0
count(root.T000100010002.90003.struct@now%104009), 0
count(root.T000100010002.90003.bshift), 0
count(root.T000100010002.90003.pcdm), 0
count(root.T000100010002.90003.struct@now%104002), 0
count(root.T000100010002.90003.struct@avg%104003), 0
count(root.T000100010002.90003.struct@now%106003), 0
count(root.T000100010002.90003.struct@avg%106004), 0
count(root.T000100010002.90003.RunTime8), 0
count(root.T000100010002.90003.struct@now%104003), 0
count(root.T000100010002.90003.struct@avg%104002), 0
count(root.T000100010002.90003.struct@now%106002), 0
count(root.T000100010002.90003.sd_Value2), 0
count(root.T000100010002.90003.struct@avg%106005), 0
count(root.T000100010002.90003.struct@StartTime), 0
count(root.T000100010002.90003.MaxpaperLen), 0
count(root.T000100010002.90003.RunTime7), 0
count(root.T000100010002.90003.struct@now%106005), 0
count(root.T000100010002.90003.struct@now%104004), 0
count(root.T000100010002.90003.RunTime2), 0
count(root.T000100010002.90003.struct@avg%106002), 0
count(root.T000100010002.90003.TotalFilters), 0
count(root.T000100010002.90003.struct@now%106004), 0
count(root.T000100010002.90003.struct@now%104005), 0
count(root.T000100010002.90003.struct@avg%106003), 0
count(root.T000100010002.90003.RunTime1), 0
count(root.T000100010002.90003.struct@avg%104004), 0
count(root.T000100010002.90003.Day), 0
count(root.T000100010002.90003.RunTime9), 0
count(root.T000100010002.90003.dwCIG), 0
count(root.T000100010002.90003.label22), 0
count(root.T000100010002.90003.StopTime), 0
count(root.T000100010002.90003.TotalWasteCnt), 545
count(root.T000100010002.90003.EffProduction), 545
count(root.T000100010002.90003.EffMachine), 545
count(root.T000100010002.90003.TotalSEBobbins), 545
count(root.T000100010002.90003.TotalWastePct-123), 545
count(root.T000100010002.90003.sd_Value7), 549
count(root.T000100010002.90003.was_Value3), 549
count(root.T000100010002.90003.sd_Value6), 549
count(root.T000100010002.90003.was_Value2), 549
count(root.T000100010002.90003.was_Value5), 549
count(root.T000100010002.90003.ph), 549
count(root.T000100010002.90003.sd_Value8), 549
count(root.T000100010002.90003.was_Value4), 549
count(root.T000100010002.90003.sd_Value3), 549
count(root.T000100010002.90003.SEPaperLen), 549
count(root.T000100010002.90003.was_Value7), 549
count(root.T000100010002.90003.was_Value6), 549
count(root.T000100010002.90003.sd_Value5), 549
count(root.T000100010002.90003.was_Value1), 549
count(root.T000100010002.90003.sd_Value4), 549
count(root.T000100010002.90003.was_Value8), 549
count(root.T000100010002.90003.struct@avg%104005), 555
count(root.T000100010002.90003.wIndex), 3935
count(root.T000100010002.90003.ShiftYear), 3935
count(root.T000100010002.90003.struct@waste%107001), 3935
count(root.T000100010002.90003.struct@waste%107002), 3935
count(root.T000100010002.90003.ShiftMonth), 3935
count(root.T000100010002.90003.collectgroupnameen), 3935
count(root.T000100010002.90003.struct@waste%107003), 3935
count(root.T000100010002.90003.struct@waste%107004), 3935
count(root.T000100010002.90003.struct@waste%105003), 3935
count(root.T000100010002.90003.bPacketType), 3935
count(root.T000100010002.90003.ShiftCode), 3935
count(root.T000100010002.90003.DataOrder), 3935
count(root.T000100010002.90003.struct@waste%107005), 3935
count(root.T000100010002.90003.struct@waste%105002), 3935
count(root.T000100010002.90003.ShiftDay), 3935
count(root.T000100010002.90003.struct@waste%105001), 3935
count(root.T000100010002.90003.collectversion), 3935
count(root.T000100010002.90003.struct@waste%107007), 3935
count(root.T000100010002.90003.ItemCnt), 3935
count(root.T000100010002.90003.label121), 4539
count(root.T000100010002.90003.struct@EndTime), 4539
count(root.T000100010002.90003.struct@StopTime), 4539
count(root.T000100010002.90003.struct@StopUID), 4539
count(root.T000100010002.90003.struct@waste%107008), 123752
count(root.T000100010002.90003.struct@waste%107006), 123752
count(root.T000100010002.90003.struct@waste%105007), 127392
count(root.T000100010002.90003.struct@waste%105006), 127392
count(root.T000100010002.90003.struct@waste%105005), 127392
count(root.T000100010002.90003.bw), 127392
count(root.T000100010002.90003.struct@waste%105009), 127392
count(root.T000100010002.90003.struct@waste%105008), 127392
count(root.T000100010002.90003.BrandCode), 127392
count(root.T000100010002.90003.struct@waste%105004), 129019
count(root.T000100010002.90003.newtime), 131931
count(root.T000100010002.90003.collecttime), 131931
