deviceName,pointNum(AllSensorsAligned),fileSize(Bytes),sensorNumPerDevice (count timeseries root.T000100010002 group by level=2)
root.T000100010002.90003,1352070,840053606,117
root.T000100010002.90004,1357510,817839126,117
root.T000100010002.90005,1358060,823234456,117
root.T000100010002.90006,1346540,815275306,117
root.T000100010002.90007,1350960,822303736,117
root.T000100010002.90008,1356490,816291616,117
root.T000100010002.90009,1350870,817020656,117
root.T000100010002.90010,1352300,817849626,117
root.T000100010002.90011,1352400,820728026,117
root.T000100010002.90012,1342480,818403786,117
root.T000100010002.90013,1345400,810654036,117
root.T000100010002.90014,1335420,813306746,117
root.T000100010002.90015,1344400,822678876,117
root.T000100010002.90017,1345280,815848086,117
root.T000100010002.90018,1346140,818601676,117
root.T000100010002.90019,1346820,826417896,117
root.T000100010002.90020,1352660,816648916,117
root.T000100010002.90021,1343010,815153436,117
root.T000100010002.90022,1342100,811065726,117
root.T000100010002.90023,1334750,812164006,117
root.T000100010002.90024,1351210,820983156,117
root.T000100010002.90025,1352040,826751486,117
root.T000100010002.90026,1346920,830175636,117
root.T000100010002.90027,1353100,828091506,117
root.T000100010002.90028,1331050,809637346,117
root.T000100010002.90029,1346830,818812576,117
root.T000100010002.90030,1346460,817543866,117
root.T000100010002.90031,1347370,819283696,117
root.T000100010002.90032,1344410,814647396,117
root.T000100010002.90033,1346140,817322716,117
root.T000100010002.90034,1345300,818690886,117
root.T000100010002.90035,1346520,809902136,117
root.T000100010002.90036,1331140,803846626,117
root.T000100010002.90037,1345270,815550686,117
root.T000100010002.90038,1351000,816874476,117
root.T000100010002.90039,1347090,810326046,117
root.T000100010002.90040,1351270,821658136,117
root.T000100010002.90041,1352520,824778326,117
root.T000100010002.90042,1346870,819584806,117
root.T000100010002.90043,1318020,800978336,117
root.T000100010002.90044,1346940,817114196,117
root.T000100010002.90045,1346330,820094526,117
root.T000100010002.90046,1347730,813849086,117
root.T000100010002.90047,1335920,816273066,117
root.T000100010002.90048,1348640,819249666,117
root.T000100010002.90049,1349510,819844356,117
root.T000100010002.90050,1347380,817273756,117
root.T000100010002.90051,1352020,816700136,117
root.T000100010002.90052,1352440,826744606,117
root.T000100010002.90053,1346380,835290996,117
root.T000100010002.90054,1347190,829109996,117
root.T000100010002.90055,1351680,833273486,117
root.T000100010002.90056,1325150,798037106,117
root.T000100010002.90057,1336210,816364256,117
root.T000100010002.90058,1347060,814545776,117
root.T000100010002.90059,1334440,802706826,117
root.T000100010002.90060,1340830,812609736,117
root.T000100010002.90061,1341510,812318906,117
root.T000100010002.90062,1345710,817067826,117
root.T000100010002.90063,1346890,814303656,117
root.T000100010002.90064,1346160,817714186,117
root.T000100010002.90065,1341170,814075176,117
root.T000100010002.90066,1347010,815351066,117
root.T000100010002.90067,1351580,821432216,117
root.T000100010002.90068,1347240,820401746,117
root.T000100010002.90069,1352160,814938446,117
root.T000100010002.90070,1342860,813263806,117
root.T000100010002.90071,1351850,826111906,117
root.T000100010002.90072,1345380,822167296,117
root.T000100010002.90073,1346320,811983446,117
root.T000100010002.90074,1340400,813207826,117
root.T000100010002.90075,1331110,806787956,117
root.T000100010002.90076,1341330,817534656,117
root.T000100010002.90077,1345370,818800266,117
root.T000100010002.90078,1352000,816764036,117
root.T000100010002.90079,1343860,815668456,117
root.T000100010002.90080,1352360,819618596,117
root.T000100010002.90081,1352420,817810166,117
root.T000100010002.90082,1336500,815974976,117
root.T000100010002.90083,1343230,820200986,117
root.T000100010002.90084,1335420,809764756,117
root.T000100010002.90085,1348280,823550046,117
root.T000100010002.90086,1346940,819853656,117
root.T000100010002.90087,1339280,813230106,117
root.T000100010002.90088,1352620,821759506,117
root.T000100010002.90089,1351810,823123776,117
root.T000100010002.90090,1340810,814627556,117
root.T000100010002.90091,1350060,820505826,117
root.T000100010002.90092,1346130,817101016,117
root.T000100010002.90093,1346850,813597796,117
root.T000100010002.90094,1346630,816579746,117
root.T000100010002.90095,1350610,818921086,117
root.T000100010002.90096,1345190,819024426,117
root.T000100010002.90097,1336900,808328086,117
root.T000100010002.90098,1340140,818659386,117
root.T000100010002.90099,1329520,799931626,117
root.T000100010002.90100,1340200,813732346,117
root.T000100010002.90101,1288940,741229006,111
root.T000100010002.90102,1301790,755805046,111
root.T000100010002.90103,1295880,749248466,111
root.T000100010002.90104,1304540,751044486,111
root.T000100010002.90105,1300030,753115556,111
root.T000100010002.90106,1306390,757580496,111
root.T000100010002.90107,1306330,759895486,111
root.T000100010002.90108,1304130,751957466,111
root.T000100010002.90109,1311720,753959796,111
root.T000100010002.90110,1310920,754882666,111
root.T000100010002.90111,1306490,751119186,111
root.T000100010002.90112,1304970,754158636,111
root.T000100010002.90113,1306490,753443886,111
root.T000100010002.90114,1305540,750633556,111
root.T000100010002.90115,1289580,749655256,111
root.T000100010002.90116,1310210,755665156,111
root.T000100010002.90117,1310070,757722876,111
root.T000100010002.90118,1300250,751056336,111
root.T000100010002.90119,1298890,750301196,111
root.T000100010002.90120,1311450,757325826,111
root.T000100010002.90121,1306110,750235586,111
root.T000100010002.90122,1305180,753502186,111
root.T000100010002.90123,1298090,748344986,111
root.T000100010002.90124,1304750,752224936,111
root.T000100010002.90125,1306450,760924166,111
root.T000100010002.90126,1305180,749325136,111
root.T000100010002.90127,1306290,749949406,111
root.T000100010002.90128,1300030,742253256,111
root.T000100010002.90129,1311470,763290196,111
root.T000100010002.90130,1312170,756805876,111
root.T000100010002.90131,1289940,743465966,111
root.T000100010002.90132,1306090,752474226,111
root.T000100010002.90133,1306590,756407956,111
root.T000100010002.90134,1299630,748817706,111
root.T000100010002.90135,1300500,747863726,111
root.T000100010002.90136,1301750,750605876,111
root.T000100010002.90137,1305330,753713526,111
root.T000100010002.90138,1309860,756177276,111
root.T000100010002.90139,1304540,748528656,111
root.T000100010002.90140,1294820,743458416,111
root.T000100010002.90141,1306430,753595676,111
root.T000100010002.90142,1300410,751313216,111
root.T000100010002.90143,1311940,756452966,111
root.T000100010002.90144,1305690,753579946,111
root.T000100010002.90145,1305760,751264626,111
root.T000100010002.90146,1305930,751087856,111
root.T000100010002.90147,1305910,753037276,111
root.T000100010002.90148,1293860,741809316,111
root.T000100010002.90149,1310960,762566936,111
root.T000100010002.90150,1298460,749700416,111
root.T000100010002.90151,1305780,750903766,111
root.T000100010002.90152,1305430,753833676,111
root.T000100010002.90153,1306070,744766116,111
root.T000100010002.90154,1300070,761848826,111
root.T000100010002.90155,1304690,752336466,111
root.T000100010002.90156,1299810,742740866,111
root.T000100010002.90157,1299630,749050976,111
root.T000100010002.90158,1299040,749081546,111
root.T000100010002.90159,1299860,752420986,111
root.T000100010002.90160,1310800,753930416,111
root.T000100010002.90161,1300610,751481126,111
root.T000100010002.90162,1295610,749626896,111
root.T000100010002.90163,1310500,752764556,111
root.T000100010002.90164,1305120,751075836,111
root.T000100010002.90165,1305460,753019986,111
root.T000100010002.90166,1303280,752134656,111
root.T000100010002.90167,1306140,750262756,111
root.T000100010002.90168,1310730,758555426,111
root.T000100010002.90169,1311100,758239166,111
root.T000100010002.90170,1311160,758458426,111
root.T000100010002.90171,1306720,749346046,111
root.T000100010002.90172,1306260,749859486,111
root.T000100010002.90173,1305670,755840886,111
root.T000100010002.90174,1284290,743195686,111
root.T000100010002.90175,1306370,758170486,111
root.T000100010002.90176,1310950,758460876,111
root.T000100010002.90177,1304340,745260386,111
root.T000100010002.90178,1297960,749144016,111
root.T000100010002.90179,1299200,748373166,111
root.T000100010002.90180,1311770,757208336,111
root.T000100010002.90181,1305890,754667706,111
root.T000100010002.90182,1305090,753011896,111
root.T000100010002.90183,1311050,754794706,111
root.T000100010002.90184,1305740,754788426,111
root.T000100010002.90185,1311550,757599366,111
root.T000100010002.90186,1303870,754064426,111
root.T000100010002.90187,1304860,753806676,111
root.T000100010002.90188,1311600,755149086,111
root.T000100010002.90189,1304680,751175616,111
root.T000100010002.90190,1304600,751162856,111
root.T000100010002.90191,1295560,750943486,111
root.T000100010002.90192,1299030,744790676,111
root.T000100010002.90193,1310150,755767326,111
root.T000100010002.90194,1300200,751204846,111
root.T000100010002.90195,1296620,747470576,111
root.T000100010002.90196,1303000,745415556,111
root.T000100010002.90197,1301260,760538586,111
root.T000100010002.90198,1310370,756514316,111
root.T000100010002.90199,1309610,756506436,111
root.T000100010002.90200,1305570,757195916,111
root.T000100010002.90201,1305950,766556996,111
root.T000100010002.90202,1304480,763126466,111
root.T000100010002.90203,1311060,750005736,111
root.T000100010002.90204,1300050,752019756,111
root.T000100010002.90205,1306030,747076566,111
root.T000100010002.90206,1299850,753922996,111
root.T000100010002.90207,1298390,748917846,111
root.T000100010002.90208,1299850,750913166,111
root.T000100010002.90209,1301770,750733806,111
root.T000100010002.90210,1300680,744644936,111
root.T000100010002.90211,1311690,759287516,111
root.T000100010002.90212,1300840,752690296,111
root.T000100010002.90213,1272370,737775326,111
root.T000100010002.90214,1306030,753184116,111
root.T000100010002.90215,1309870,751264206,111
root.T000100010002.90216,1299800,747707976,111
root.T000100010002.90217,1306110,751734546,111
root.T000100010002.90218,1304450,752605916,111
root.T000100010002.90219,1306140,755391356,111
root.T000100010002.90220,1295890,749398796,111
root.T000100010002.90221,1299700,747533896,111
root.T000100010002.90222,1294220,748200696,111
root.T000100010002.90223,1298940,746983006,111
root.T000100010002.90224,1304320,753152056,111
root.T000100010002.90225,1298050,747648256,111
root.T000100010002.90226,1310100,763002006,111
root.T000100010002.90227,1304400,751450416,111
root.T000100010002.90228,1298750,751175476,111
root.T000100010002.90229,1292160,745593396,111
root.T000100010002.90230,1294830,747060886,111
root.T000100010002.90231,1299030,748964976,111
root.T000100010002.90232,1305620,757680116,111
root.T000100010002.90233,1299080,751158556,111
root.T000100010002.90234,1299810,745900346,111
root.T000100010002.90235,1299400,754501216,111
root.T000100010002.90236,1308070,756047166,111
root.T000100010002.90237,1305780,755278846,111
root.T000100010002.90238,1311340,757241316,111
root.T000100010002.90239,1309390,764525726,111
root.T000100010002.90240,1305700,748144656,111
root.T000100010002.90241,1283220,746040836,111
root.T000100010002.90242,1298650,749837326,111
root.T000100010002.90243,1308970,756913136,111
root.T000100010002.90244,1311130,759782226,111
root.T000100010002.90245,1306160,754943786,111
root.T000100010002.90246,1298010,745738676,111
root.T000100010002.90247,1284720,740732286,111
root.T000100010002.90248,1305160,742594966,111
root.T000100010002.90249,1305370,754215866,111
root.T000100010002.90250,1310850,756131966,111
root.T000100010002.90251,1300060,752319096,111
root.T000100010002.90252,1303930,749335266,111
root.T000100010002.90253,1293550,748239706,111
root.T000100010002.90254,1298470,748876326,111
root.T000100010002.90255,1302220,751308446,111
root.T000100010002.90256,1305310,755254266,111
root.T000100010002.90257,1300480,750804276,111
root.T000100010002.90258,1298100,749855716,111
root.T000100010002.90259,1295400,744247366,111
root.T000100010002.90260,1309400,756056696,111
root.T000100010002.90261,1298940,748584796,111
root.T000100010002.90262,1299270,746887056,111
root.T000100010002.90263,1299940,751941926,111
root.T000100010002.90264,1299230,747567016,111
root.T000100010002.90265,1297550,752135756,111
root.T000100010002.90266,1304640,751788476,111
root.T000100010002.90267,1303950,751927976,111
root.T000100010002.90268,1300740,746652976,111
root.T000100010002.90269,1290040,733657716,111
root.T000100010002.90270,1305480,754938136,111
root.T000100010002.90271,1310960,758102986,111
root.T000100010002.90272,1289880,749220046,111
root.T000100010002.90273,1301180,749618276,111
root.T000100010002.90274,1304280,750864586,111
root.T000100010002.90275,1309360,751152346,111
root.T000100010002.90276,1305420,744325296,111
root.T000100010002.90277,1300170,753498526,111
root.T000100010002.90278,1304590,759689096,111
root.T000100010002.90279,1298580,747547336,111
root.T000100010002.90280,1300610,753994876,111
root.T000100010002.90281,1287320,742427076,111
root.T000100010002.90282,1302950,753948646,111
root.T000100010002.90283,1310210,758041916,111
root.T000100010002.90284,1293200,743060936,111
root.T000100010002.90285,1301690,748821336,111
root.T000100010002.90286,1293750,748477306,111
root.T000100010002.90287,1299700,749977646,111
root.T000100010002.90288,1303430,757113246,111
root.T000100010002.90289,1309820,754380456,111
root.T000100010002.90290,1305810,749994246,111
root.T000100010002.90291,1310630,756088706,111
root.T000100010002.90292,1310440,752401586,111
root.T000100010002.90293,1304860,751376466,111
root.T000100010002.90294,1305190,753362276,111
root.T000100010002.90295,1310970,751891166,111
root.T000100010002.90296,1303830,751383676,111
root.T000100010002.90297,1305320,757938826,111
root.T000100010002.90298,1311030,758170126,111
root.T000100010002.90299,1300570,747188526,111
root.T000100010002.90300,1299280,745095046,111
root.T000100010002.90301,1299420,751866086,111
root.T000100010002.90302,1299650,757923066,111
root.T000100010002.90303,1294050,758357406,111
root.T000100010002.90304,1302580,757788736,111
root.T000100010002.90305,1297830,749595076,111
root.T000100010002.90306,1305150,751251386,111
root.T000100010002.90307,1304930,757186576,111
root.T000100010002.90308,1309270,754698056,111
root.T000100010002.90309,1308700,752066126,111
root.T000100010002.90310,1289260,741694586,111
root.T000100010002.90311,1304520,746648436,111
root.T000100010002.90312,1299640,745585746,111
root.T000100010002.90313,1305500,750386016,111
root.T000100010002.90314,1304370,745243916,111
root.T000100010002.90315,1310170,749555806,111
root.T000100010002.90316,1305380,749410086,111
root.T000100010002.90317,1305630,759158506,111
root.T000100010002.90318,1309210,743794556,111
root.T000100010002.90319,1295050,754750626,111
root.T000100010002.90320,1305170,750343996,111
root.T000100010002.90321,1305660,760470336,111
root.T000100010002.90322,1305430,752774206,111
root.T000100010002.90323,1292590,742625586,111
root.T000100010002.90324,1311440,768490176,111
root.T000100010002.90325,1295120,750353656,111
root.T000100010002.90326,1299750,740991956,111
root.T000100010002.90327,1298210,758279756,111
root.T000100010002.90328,1304740,752290146,111
root.T000100010002.90329,1305260,749100776,111
root.T000100010002.90330,1311340,766050876,111
root.T000100010002.90331,1305870,753584816,111
root.T000100010002.90332,1300260,748314186,111
root.T000100010002.90333,1299310,746443526,111
root.T000100010002.90334,1299730,748330886,111
root.T000100010002.90335,1310800,753702976,111
root.T000100010002.90336,1305630,749595596,111
root.T000100010002.90337,1305580,755356346,111
root.T000100010002.90338,1303760,752608756,111
root.T000100010002.90339,1306010,754725666,111
root.T000100010002.90340,1293960,746062696,111
root.T000100010002.90341,1288480,742492416,111
root.T000100010002.90342,1307420,758529766,111
root.T000100010002.90343,1309350,748175436,111
root.T000100010002.90344,1311180,750208236,111
root.T000100010002.90345,1310790,748501206,111
root.T000100010002.90346,1310920,758628046,111
root.T000100010002.90347,1303920,756750726,111
root.T000100010002.90348,1304200,769261726,111
root.T000100010002.90349,1305310,756852666,111
root.T000100010002.90350,1310870,755544436,111
root.T000100010002.90351,1310610,750716216,111
root.T000100010002.90352,1305060,738663286,111
root.T000100010002.90353,1299510,743280676,111
root.T000100010002.90354,1309080,747010206,111
root.T000100010002.90355,1294640,745498066,111
root.T000100010002.90356,1301160,754809946,111
root.T000100010002.90357,1305500,752213056,111
root.T000100010002.90358,1305210,756993446,111
root.T000100010002.90359,1305600,746853046,111
root.T000100010002.90360,1304570,757105906,111
root.T000100010002.90361,1303760,753486856,111
root.T000100010002.90362,1310690,757826316,111
root.T000100010002.90363,1305610,754800236,111
root.T000100010002.90364,1300520,751175576,111
root.T000100010002.90365,1309610,745073506,111
root.T000100010002.90366,1305040,753555366,111
root.T000100010002.90367,1305480,754828876,111
root.T000100010002.90368,1310410,752865356,111
root.T000100010002.90369,1299270,749843036,111
root.T000100010002.90370,1293930,746811476,111
root.T000100010002.90371,1288930,741139546,111
root.T000100010002.90372,1298990,749096086,111
root.T000100010002.90373,1294600,749282726,111
root.T000100010002.90374,1304610,756089266,111
root.T000100010002.90375,1293320,746011036,111
root.T000100010002.90376,1303940,753953856,111
root.T000100010002.90377,1298330,750620146,111
root.T000100010002.90378,1310700,752762816,111
root.T000100010002.90379,1306510,749371696,111
root.T000100010002.90380,1305230,756322806,111
root.T000100010002.90381,1310360,757820426,111
root.T000100010002.90382,1292640,744690426,111
root.T000100010002.90383,1300120,754714706,111
root.T000100010002.90384,1305100,752573646,111
root.T000100010002.90385,1305590,755494206,111
root.T000100010002.90386,1283770,744436626,111
root.T000100010002.90387,1300690,758010606,111
root.T000100010002.90388,1299700,752943876,111
root.T000100010002.90389,1304400,754570716,111
root.T000100010002.90390,1305760,758262876,111
root.T000100010002.90391,1277020,735333106,111
root.T000100010002.90392,1299470,749894306,111
root.T000100010002.90393,1303610,753694136,111
root.T000100010002.90394,1309630,756891646,111
root.T000100010002.90395,1309740,756292426,111
root.T000100010002.90396,1304810,752172776,111
root.T000100010002.90397,1305320,751660596,111
root.T000100010002.90398,1304870,755823866,111
root.T000100010002.90399,1297540,738316996,111
root.T000100010002.90400,1296570,761074706,111
root.T000100010002.90401,1300120,749028396,111
root.T000100010002.90402,1299150,746424446,111
root.T000100010002.90403,1310560,758919736,111
root.T000100010002.90404,1306070,755163486,111
root.T000100010002.90406,1298930,745147706,111
root.T000100010002.90407,1304980,745408556,111
root.T000100010002.90408,1281970,740676666,111
root.T000100010002.90409,1302990,755156546,111
root.T000100010002.90410,1298440,753998406,111
root.T000100010002.90411,1305540,759653936,111
root.T000100010002.90412,1287490,742535086,111
root.T000100010002.90413,1301620,752930096,111
root.T000100010002.90414,1304830,751677116,111
root.T000100010002.90415,1311110,758959606,111
root.T000100010002.90416,1301860,755102556,111
root.T000100010002.90417,1296790,745330686,111
root.T000100010002.90418,1302540,754237996,111
root.T000100010002.90419,1303650,756369416,111
root.T000100010002.90420,1303620,747704836,111
root.T000100010002.90421,1300000,749461896,111
root.T000100010002.90422,1298560,748614506,111
root.T000100010002.90423,1304820,757407586,111
root.T000100010002.90424,1305200,752914236,111
root.T000100010002.90425,1299800,752513556,111
root.T000100010002.90426,1300450,751127746,111
root.T000100010002.90427,1310900,764131856,111
root.T000100010002.90428,1299760,750650816,111
root.T000100010002.90429,1299880,756880856,111
root.T000100010002.90430,1300020,755690306,111
root.T000100010002.90431,1303270,754340956,111
root.T000100010002.90432,1304010,755367536,111
root.T000100010002.90433,1293940,747775246,111
root.T000100010002.90434,1302860,750144866,111
root.T000100010002.90435,1304960,748568276,111
root.T000100010002.90436,1311000,753052996,111
root.T000100010002.90437,1305440,753002306,111
root.T000100010002.90438,1294940,744842276,111
root.T000100010002.90439,1289520,747945676,111
root.T000100010002.90440,1303590,755832156,111
root.T000100010002.90441,1310710,754972806,111
root.T000100010002.90442,1303190,749226596,111
root.T000100010002.90443,1304050,752674506,111
root.T000100010002.90444,1278140,737502106,111
root.T000100010002.90445,1303940,755340236,111
root.T000100010002.90446,1293090,745872976,111
root.T000100010002.90447,1293850,747551746,111
root.T000100010002.90448,1288630,746993236,111
root.T000100010002.90449,1304050,754561936,111
root.T000100010002.90450,1303270,750980196,111
root.T000100010002.90451,1304850,756667766,111
root.T000100010002.90452,1303460,751825626,111
root.T000100010002.90453,1300360,755106796,111
root.T000100010002.90454,1310230,756751516,111
root.T000100010002.90455,1299290,749886986,111
root.T000100010002.90456,1298850,749029286,111
root.T000100010002.90457,1289460,750742826,111
root.T000100010002.90458,1309820,754007606,111
root.T000100010002.90459,1304870,747336926,111
root.T000100010002.90460,1302290,751990476,111
root.T000100010002.90461,1304970,748749776,111
root.T000100010002.90462,1310030,756068736,111
root.T000100010002.90463,1298810,749420216,111
root.T000100010002.90464,1295080,742569936,111
root.T000100010002.90465,1293440,750094216,111
root.T000100010002.90466,1304870,753826376,111
root.T000100010002.90467,1303140,753557556,111
root.T000100010002.90468,1305200,754079746,111
root.T000100010002.90469,1299950,748972906,111
root.T000100010002.90470,1310580,754377596,111
root.T000100010002.90471,1310640,755131096,111
root.T000100010002.90472,1299410,748770966,111
root.T000100010002.90473,1303780,753406536,111
root.T000100010002.90474,1303920,751211566,111
root.T000100010002.90475,1304040,751685596,111
root.T000100010002.90476,1304630,748084666,111
root.T000100010002.90477,1298870,750099666,111
root.T000100010002.90478,1304280,754060866,111
root.T000100010002.90479,1284650,742472176,111
root.T000100010002.90480,1299110,751080666,111
root.T000100010002.90481,1299240,749888206,111
root.T000100010002.90482,1304470,750577886,111
root.T000100010002.90483,1305370,752160106,111
root.T000100010002.90484,1303730,750443556,111
root.T000100010002.90485,1310940,756604426,111
root.T000100010002.90486,1303400,754624606,111
root.T000100010002.90487,1310740,757918736,111
root.T000100010002.90488,1303830,761228216,111
root.T000100010002.90489,1310730,745913966,111
root.T000100010002.90490,1299020,748676776,111
root.T000100010002.90491,1305350,752424336,111
root.T000100010002.90492,1297410,749832106,111
root.T000100010002.90493,1297580,747102926,111
root.T000100010002.90494,1298460,745956156,111
root.T000100010002.90495,1304360,753308946,111
root.T000100010002.90496,1283720,740222976,111
root.T000100010002.90497,1298840,753801546,111
root.T000100010002.90498,1289890,745772796,111
root.T000100010002.90499,1296020,748932816,111
root.T000100010002.90500,1294860,747290436,111
root.T000100010002.90501,1286670,743422336,111
root.T000100010002.90502,1297700,747317836,111
root.T000100010002.90503,1298380,746683336,111
root.T000100010002.90504,1288030,744595106,111
root.T000100010002.90505,1290000,742855826,111
root.T000100010002.90506,1305340,754277076,111
root.T000100010002.90507,1299480,748645716,111
root.T000100010002.90508,1304580,751629586,111
root.T000100010002.90509,1283600,742930086,111
root.T000100010002.90510,1283070,743087836,111
root.T000100010002.90511,1299220,752474186,111
root.T000100010002.90512,1303640,748976796,111
root.T000100010002.90513,1298460,747411256,111
root.T000100010002.90514,1303560,747152926,111
root.T000100010002.90515,1309120,757183746,111
root.T000100010002.90516,1310680,756657706,111
root.T000100010002.90517,1299960,748473156,111
root.T000100010002.90518,1302850,749854106,111
root.T000100010002.90519,1298340,750953196,111
root.T000100010002.90520,1302270,753777186,111
root.T000100010002.90521,1304650,749700316,111
root.T000100010002.90522,1301240,749466466,111
root.T000100010002.90523,1309330,748913446,111
root.T000100010002.90524,1310270,757750876,111
root.T000100010002.90525,1309630,758547566,111
root.T000100010002.90526,1292950,745706896,111
root.T000100010002.90527,1304230,754360006,111
root.T000100010002.90528,1310700,755894726,111
root.T000100010002.90529,1300330,755025206,111
root.T000100010002.90530,1302850,750145086,111
root.T000100010002.90531,1301910,752446306,111
root.T000100010002.90532,1309780,761347966,111
root.T000100010002.90533,1303730,749273456,111
root.T000100010002.90534,1288680,745306346,111
root.T000100010002.90535,1282420,741582916,111
root.T000100010002.90536,1293230,750265376,111
root.T000100010002.90537,1303570,750944926,111
root.T000100010002.90538,1310690,758690566,111
root.T000100010002.90539,1303950,752217476,111
root.T000100010002.90540,1289420,745205666,111
root.T000100010002.90541,1294150,748212056,111
root.T000100010002.90542,1305210,757812496,111
root.T000100010002.90543,1297810,747418706,111
root.T000100010002.90544,1294800,749894376,111
root.T000100010002.90545,1299700,752086646,111
root.T000100010002.90546,1302200,749609976,111
root.T000100010002.90547,1304510,751651336,111
root.T000100010002.90548,1299310,751970426,111
root.T000100010002.90549,1304660,753758786,111
root.T000100010002.90550,1300350,750526786,111
root.T000100010002.90551,1298410,747637546,111
root.T000100010002.90552,1292410,746589106,111
root.T000100010002.90553,1291660,743004526,111
root.T000100010002.90554,1290960,745149526,111
root.T000100010002.90555,1278210,741130676,111
root.T000100010002.90556,1303190,748298126,111
root.T000100010002.90557,1303160,750747096,111
root.T000100010002.90558,1304470,752173516,111
root.T000100010002.90559,1294410,744631996,111
root.T000100010002.90560,1297760,748561036,111
root.T000100010002.90561,1309760,753770896,111
root.T000100010002.90562,1302830,750769186,111
root.T000100010002.90563,1288170,746709816,111
root.T000100010002.90564,1298680,746076516,111
root.T000100010002.90565,1281890,741374636,111
root.T000100010002.90566,1306340,759397886,111
root.T000100010002.90567,1310210,761024146,111
root.T000100010002.90568,1308610,752568376,111
root.T000100010002.90569,1302930,751205846,111
root.T000100010002.90570,1303600,756078676,111
root.T000100010002.90571,1289730,744711406,111
root.T000100010002.90572,1296620,748593626,111
root.T000100010002.90573,1299710,743048396,111
root.T000100010002.90574,1294960,745791386,111
root.T000100010002.90575,1287670,746896836,111
root.T000100010002.90576,1309850,751633396,111
root.T000100010002.90577,1308900,751718116,111
root.T000100010002.90578,1304900,755775236,111
root.T000100010002.90579,1309950,751087696,111
root.T000100010002.90580,1309010,749759276,111
root.T000100010002.90581,1304990,752418686,111
root.T000100010002.90582,1299250,748581356,111
root.T000100010002.90583,1298400,750840106,111
root.T000100010002.90584,1303700,752019296,111
root.T000100010002.90585,1304440,752472916,111
root.T000100010002.90586,1305310,751683056,111
root.T000100010002.90587,1309060,756194656,111
root.T000100010002.90588,1303960,754268796,111
root.T000100010002.90589,1302710,750729556,111
root.T000100010002.90590,1299190,752320506,111
root.T000100010002.90591,1309040,752692806,111
root.T000100010002.90593,1310000,752689306,111
root.T000100010002.90594,1288080,745533046,111
root.T000100010002.90595,1299130,752962946,111
root.T000100010002.90596,1297520,746728836,111
root.T000100010002.90597,1303090,749692946,111
root.T000100010002.90598,1293200,744932436,111
root.T000100010002.90599,1297410,750490716,111
root.T000100010002.90600,1297730,749386266,111
root.T000100010002.90601,1299200,751620206,111
root.T000100010002.90602,1304490,756010586,111
root.T000100010002.90603,1298950,753493816,111
root.T000100010002.90604,1289320,740278206,111
root.T000100010002.90605,1299190,749324666,111
root.T000100010002.90606,1298720,749768646,111
root.T000100010002.90607,1281060,739077256,111
root.T000100010002.90608,1281850,738472276,111
root.T000100010002.90609,1284160,740218216,111
root.T000100010002.90610,1283950,740424826,111
root.T000100010002.90611,1298270,749388126,111
root.T000100010002.90612,1299580,748518886,111
root.T000100010002.90613,1283580,734650906,111
root.T000100010002.90614,1309670,753979726,111
root.T000100010002.90615,1304480,755704796,111
root.T000100010002.90616,1304880,755905076,111
root.T000100010002.90617,1304850,755700416,111
root.T000100010002.90618,1289130,743987346,111
root.T000100010002.90619,1304320,750253646,111
root.T000100010002.90620,1298930,749256896,111
root.T000100010002.90621,1289610,745842046,111
root.T000100010002.90622,1298700,751280246,111
root.T000100010002.90623,1293500,752628456,111
root.T000100010002.90624,1303900,751188786,111
root.T000100010002.90625,1298790,748656826,111
root.T000100010002.90626,1299210,750199216,111
root.T000100010002.90627,1298450,749745066,111
root.T000100010002.90628,1308620,757554386,111
root.T000100010002.90629,1303030,748973956,111
root.T000100010002.90630,1297420,750101716,111
root.T000100010002.90631,1310350,754507296,111
root.T000100010002.90632,1296560,748999236,111
root.T000100010002.90633,1300670,747296466,111
root.T000100010002.90634,1304740,755192046,111
root.T000100010002.90635,1309980,753340206,111
root.T000100010002.90636,1304650,749470136,111
root.T000100010002.90637,1303530,746702356,111
root.T000100010002.90638,1303290,748001426,111
root.T000100010002.90639,1304230,751446146,111
root.T000100010002.90640,1310110,753999776,111
root.T000100010002.90641,1310190,755042676,111
root.T000100010002.90642,1304360,750287706,111
root.T000100010002.90643,1309370,754400316,111
root.T000100010002.90644,1303910,755406076,111
root.T000100010002.90645,1303050,750513606,111
root.T000100010002.90646,1304010,749842126,111
root.T000100010002.90647,1299980,753352196,111
root.T000100010002.90648,1302990,754349656,111
root.T000100010002.90649,1303020,751433316,111
root.T000100010002.90650,1297310,747273616,111
root.T000100010002.90651,1304080,753701436,111
root.T000100010002.90652,1282320,738175526,111
